"ID del Tweet","Enlace permanente de Tweet","Texto del Tweet","hora","impresiones","interacciones","tasa de interacción","retweets","respuestas","me gusta","clics de perfil de usuario","clics en URL","clics de etiquetas","ampliaciones de detalles","clics en enlaces permanentes","Se abre la aplicación","descargas de app","seguimientos","enviar Tweet por correo electrónico","marcar teléfono","visualizaciones multimedia","interacciones con el contenido multimedia","impresiones promocionado","interacciones promocionado","tasa de interacción promocionado","retweets promocionado","respuestas promocionado","me gusta promocionado","clics de perfil de usuario promocionado","clics en URL promocionado","clics de etiquetas promocionado","ampliaciones de detalles promocionado","clics en enlaces permanentes promocionado","Se abre la aplicación promocionado","descargas de app promocionado","seguimientos promocionado","enviar Tweet por correo electrónico promocionado","marcar teléfono promocionado","visualizaciones multimedia promocionado","interacciones con el contenido multimedia promocionado"
"1453902777139224590","https://twitter.com/rdvillal/status/1453902777139224590","El paso peatonal de la Jerusalén es un juego del calamar","2021-10-29 01:53 +0000","90.0","2.0","0.022222222222222223","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453896162956689411","https://twitter.com/rdvillal/status/1453896162956689411","Eres una rata Arnold, una rata gorda!","2021-10-29 01:27 +0000","66.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453889207710191617","https://twitter.com/rdvillal/status/1453889207710191617","¿Ya vieron su chivo wallet? https://t.co/0GYbyH3G65","2021-10-29 00:59 +0000","209.0","12.0","0.05741626794258373","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1453837314036314121","https://twitter.com/rdvillal/status/1453837314036314121","Hemos conseguido escapar, pero ahora viene lo más difícil, mantenerse vivo (el profesor) https://t.co/kpyb1FOAaZ","2021-10-28 21:33 +0000","111.0","4.0","0.036036036036036036","0.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452667781070077962","https://twitter.com/rdvillal/status/1452667781070077962","Con estas fiestas del régimen ya parecemos novela de Mario Vargas Llosa","2021-10-25 16:06 +0000","83.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452666949641637894","https://twitter.com/rdvillal/status/1452666949641637894","Empezaré esta semana escuchando “La ruta del tentempié”, del gran Charly García, para que nada salga mal","2021-10-25 16:02 +0000","107.0","2.0","0.018691588785046728","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452663755628810242","https://twitter.com/rdvillal/status/1452663755628810242","La gente que te pide 5, 10, n minutos de tu tiempo tiene lugar reservado en la Gehena de fuego. No lo digo yo, lo dijo Dante en la divina comedia. Háganse un favor y léanlo","2021-10-25 15:50 +0000","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452644606085054471","https://twitter.com/rdvillal/status/1452644606085054471","@Roberto_Dubon La fiesta del chivo","2021-10-25 14:33 +0000","860.0","8.0","0.009302325581395349","1.0","1.0","1.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452135785583554562","https://twitter.com/rdvillal/status/1452135785583554562","@Sara_Serran0 O el legendario Borges “está en ti la ventura como la primavera en la hoja nueva… Está en ti la delicia como está la crueldad en las espadas”","2021-10-24 04:52 +0000","37.0","4.0","0.10810810810810811","0.0","1.0","1.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452134185611706369","https://twitter.com/rdvillal/status/1452134185611706369","@Sara_Serran0 O el maestro Charly García “¿será que nací en el sur? ¿Será que encendí la luz de tu amor?”","2021-10-24 04:45 +0000","76.0","6.0","0.07894736842105263","0.0","1.0","2.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
